item_id,domain,condition,rag,y,conf,mce,brier,tool,forbidden,parse_ok
d1.16,1,verify,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.16,1,verify,ON,1.0,0.7833333333333333,0.21666666666666667,0.04916666666666667,0.0,0.0,1.0
d1.17,1,cot,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.17,1,cot,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.17,1,dual,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.17,1,dual,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.17,1,high_c,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.17,1,high_c,ON,1.0,0.9333333333333332,0.0666666666666667,0.005000000000000001,0.0,0.0,1.0
d1.17,1,verify,OFF,1.0,0.9933333333333333,0.006666666666666672,6.666666666666679e-05,0.0,0.0,1.0
d1.17,1,verify,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.18,1,cot,OFF,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d1.18,1,cot,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.18,1,dual,OFF,1.0,0.92,0.07999999999999996,0.006399999999999993,0.0,0.0,1.0
d1.18,1,dual,ON,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d1.18,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.18,1,high_c,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.18,1,verify,OFF,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d1.18,1,verify,ON,1.0,0.93,0.06999999999999999,0.005099999999999997,0.0,0.0,1.0
d1.19,1,cot,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.19,1,cot,ON,1.0,0.6166666666666667,0.3833333333333333,0.14750000000000002,0.0,0.0,1.0
d1.19,1,dual,OFF,1.0,0.66,0.34,0.11746666666666668,0.0,0.0,1.0
d1.19,1,dual,ON,0.6666666666666666,0.6166666666666667,0.48333333333333334,0.24916666666666665,0.0,0.0,1.0
d1.19,1,high_c,OFF,1.0,0.6,0.39999999999999997,0.21166666666666667,0.0,0.0,1.0
d1.19,1,high_c,ON,1.0,0.65,0.3499999999999999,0.12249999999999998,0.0,0.0,1.0
d1.19,1,verify,OFF,1.0,0.7600000000000001,0.24,0.06446666666666666,0.0,0.0,1.0
d1.19,1,verify,ON,1.0,0.6166666666666667,0.3833333333333333,0.14750000000000002,0.0,0.0,1.0
d1.20,1,cot,OFF,1.0,0.82,0.17999999999999997,0.043266666666666655,0.0,0.0,1.0
d1.20,1,cot,ON,1.0,0.9333333333333332,0.0666666666666667,0.005000000000000001,0.0,0.0,1.0
d1.20,1,dual,OFF,0.6666666666666666,0.7799999999999999,0.21999999999999997,0.0876,0.0,0.0,0.6666666666666666
d1.20,1,dual,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.20,1,high_c,OFF,1.0,0.9433333333333334,0.05666666666666668,0.0033000000000000004,0.0,0.0,1.0
d1.20,1,high_c,ON,1.0,0.9166666666666666,0.08333333333333337,0.009166666666666672,0.0,0.0,1.0
d1.20,1,verify,OFF,1.0,0.9066666666666666,0.09333333333333334,0.010466666666666668,0.0,0.0,1.0
d1.20,1,verify,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333334,0.0,0.0,1.0
d1.21,1,cot,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.21,1,cot,ON,1.0,0.9166666666666666,0.08333333333333333,0.007499999999999999,0.0,0.0,1.0
d1.21,1,dual,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.21,1,dual,ON,1.0,0.8666666666666667,0.13333333333333333,0.024999999999999998,0.0,0.0,1.0
d1.21,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.21,1,high_c,ON,1.0,0.9066666666666666,0.09333333333333334,0.010466666666666668,0.0,0.0,1.0
d1.21,1,verify,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.21,1,verify,ON,0.6666666666666666,0.9333333333333332,0.3666666666666667,0.305,0.0,0.0,1.0
d1.22,1,cot,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.22,1,cot,ON,1.0,0.8833333333333333,0.11666666666666665,0.014166666666666666,0.0,0.0,1.0
d1.22,1,dual,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.22,1,dual,ON,1.0,0.8566666666666668,0.1433333333333333,0.02296666666666666,0.0,0.0,1.0
